,Unnamed: 0,imdbId,Imdb Link,Title,IMDB Score,Genre,Poster,Year
10688,10688,401855,http://www.imdb.com/title/tt401855,Underworld: Evolution,6.8,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNDY1OTQwOV5BMl5BanBnXkFtZTcwNjcxMTIzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10725,10725,390245,http://www.imdb.com/title/tt390245,Matti,5.9,Biography,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5NTQ4OTAxNl5BMl5BanBnXkFtZTgwNzM2MzI2MDE@._V1_UY268_CR3,0,182,268_AL_.jpg",2006
10728,10728,416496,http://www.imdb.com/title/tt416496,Bandidas,5.7,Action,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDI1MDEwNjM2OF5BMl5BanBnXkFtZTcwNzE2NTA0MQ@@._V1_UY268_CR7,0,182,268_AL_.jpg",2006
10738,10738,417433,http://www.imdb.com/title/tt417433,Annapolis,5.8,Drama,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDQxMzA1Mjk5MF5BMl5BanBnXkFtZTcwMTM5NjEzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10739,10739,421729,http://www.imdb.com/title/tt421729,Big Momma's House 2,4.6,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjZmYTQ3OTktODkzYy00YmQxLTgxMjEtY2ZkZDY4MDYzNDNmXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10754,10754,414982,http://www.imdb.com/title/tt414982,Final Destination 3,5.8,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg2MzI0MzczOF5BMl5BanBnXkFtZTcwNzAyODExMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10756,10756,437777,http://www.imdb.com/title/tt437777,Something New,6.8,Comedy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzMzNzU0NzQ1NF5BMl5BanBnXkFtZTcwNTMzOTEzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10771,10771,383216,http://www.imdb.com/title/tt383216,The Pink Panther,5.6,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BNGI2MjVlNzEtZDg1ZS00MGU1LWFhNTQtNzMwZDViOWRkNzhkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10774,10774,381971,http://www.imdb.com/title/tt381971,Curious George,6.6,Animation,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzODQ4ODI0Nl5BMl5BanBnXkFtZTcwNTMyMDIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10775,10775,408345,http://www.imdb.com/title/tt408345,Firewall,5.8,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwOTAyMTkwOV5BMl5BanBnXkFtZTYwMjY2MTM3._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10780,10780,455857,http://www.imdb.com/title/tt455857,When a Stranger Calls,5.0,Horror,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NDk0NjExNF5BMl5BanBnXkFtZTcwNDIyMDIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10783,10783,473692,http://www.imdb.com/title/tt473692,Neil Young: Heart of Gold,7.8,Documentary,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NTY0NjYxMV5BMl5BanBnXkFtZTcwODM4MDIzMQ@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10784,10784,349467,http://www.imdb.com/title/tt349467,Freedomland,5.1,Crime,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc5MzI3NDE4MF5BMl5BanBnXkFtZTcwNTIyNzYzMw@@._V1_UX182_CR0,0,182,268_AL_.jpg",2006
10786,10786,397313,http://www.imdb.com/title/tt397313,Eight Below,7.3,Adventure,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMjAwNzE0N15BMl5BanBnXkFtZTYwMDY4NDk2._V1_UX182_CR0,0,182,268_AL_.jpg",2006
