_id,Title,Awards,Metascore,Country,Runtime,Rated,Director,imdbID,imdbVotes,Language,Actors,Poster,Type,Writer,Genre,Response,Released,imdbRating,Box_office
5707157a71a065165c8c3a2f,Man of the Year,1 nomination.,39,USA,115 min,PG-13,Barry Levinson,tt0483726,"27,577",English,"Robin Williams, Christopher Walken, Laura Linney, Lewis Black",http://ia.media-imdb.com/images/M/MV5BMTM0NzQxMjk0OV5BMl5BanBnXkFtZTcwMDUyNDgzMQ@@._V1_SX300.jpg,movie,Barry Levinson,"Comedy, Drama, Romance",True,13 Oct 2006,6.2,"37,442,180"
5707157a71a065165c8c3a30,16 Blocks,2 nominations.,63,"Germany, USA",102 min,PG-13,Richard Donner,tt0450232,"110,916",English,"Bruce Willis, Yasiin Bey, David Morse, Jenna Stern",http://ia.media-imdb.com/images/M/MV5BMTQ1NDEwMzEwMl5BMl5BanBnXkFtZTcwNzM4MTEzMw@@._V1_SX300.jpg,movie,Richard Wenk,"Action, Crime, Drama",True,03 Mar 2006,6.6,"13,986"
5707157a71a065165c8c3a31,Accepted,4 nominations.,47,USA,93 min,PG-13,Steve Pink,tt0384793,"103,205",English,"Justin Long, Jonah Hill, Adam Herschman, Columbus Short",http://ia.media-imdb.com/images/M/MV5BMTkzNzY5OTc3Nl5BMl5BanBnXkFtZTcwNjE4NDQzMQ@@._V1_SX300.jpg,movie,"Adam Cooper (screenplay, Bill Collage (screenplay, Mark Perez (screenplay, Mark Perez (story)",Comedy,True,18 Aug 2006,6.5,
5707157a71a065165c8c3a32,The Sentinel,2 nominations.,49,USA,108 min,PG-13,Clark Johnson,tt0443632,"41,658",English,"Michael Douglas, Kiefer Sutherland, Eva Longoria, Martin Donovan",http://ia.media-imdb.com/images/M/MV5BMTQ4OTcyODc1N15BMl5BanBnXkFtZTcwNDE0MjYzMQ@@._V1_SX300.jpg,movie,"George Nolfi (screenplay, Gerald Petievich (novel)","Action, Crime, Thriller",True,21 Apr 2006,6.1,"3,554,416"
5707157a71a065165c8c3a33,Children of Men,Nominated for 3 Oscars. Another 40 wins & 70 nominations.,84,"USA, UK",109 min,R,Alfonso Cuarón,tt0206634,"352,985","English, German, Italian, Romanian, Spanish, Arabic, Georgian, Russian","Clive Owen, Juan Gabriel Yacuzzi, Michael Caine, Mishal Husain",http://ia.media-imdb.com/images/M/MV5BMTc2MDU1ODQ0MV5BMl5BanBnXkFtZTcwMjk2NDA2OQ@@._V1_SX300.jpg,movie,"Alfonso Cuarón (screenplay, Timothy J. Sexton (screenplay, David Arata (screenplay, Mark Fergus (screenplay, Hawk Ostby (screenplay, P.D. James (novel)","Drama, Sci-Fi, Thriller",True,05 Jan 2007,7.9,"35,286,428"
5707157a71a065165c8c3a34,Deck the Halls,1 win & 8 nominations.,28,USA,93 min,PG,John Whitesell,tt0790604,"15,485",English,"Danny DeVito, Matthew Broderick, Kristin Davis, Kristin Chenoweth",http://ia.media-imdb.com/images/M/MV5BMTIzNjA4OTM0OV5BMl5BanBnXkFtZTcwMDgwODkzMQ@@._V1_SX300.jpg,movie,"Matt Corman, Chris Ord, Don Rhymer","Comedy, Family",True,22 Nov 2006,4.9,"35,092,918"
5707157a71a065165c8c3a35,Take the Lead,1 win & 6 nominations.,55,USA,118 min,PG-13,Liz Friedlander,tt0446046,"21,257",English,"Antonio Banderas, Rob Brown, Yaya DaCosta, Alfre Woodard",http://ia.media-imdb.com/images/M/MV5BMjAwODMxMjk2OF5BMl5BanBnXkFtZTYwNDEwMTY2._V1_SX300.jpg,movie,Dianne Houston,"Drama, Music",True,07 Apr 2006,6.7,"1,113,955"
5707157a71a065165c8c3a36,Babel,Won 1 Oscar. Another 41 wins & 128 nominations.,69,"France, USA, Mexico",143 min,R,Alejandro González Iñárritu,tt0449467,"239,317","English, Arabic, Spanish, Japanese, Berber languages, French, Russian, Japanese Sign Language","Brad Pitt, Cate Blanchett, Mohamed Akhzam, Peter Wight",http://ia.media-imdb.com/images/M/MV5BMjEzMzg4NTIyOF5BMl5BanBnXkFtZTcwNjM3MzgzMQ@@._V1_SX300.jpg,movie,"Guillermo Arriaga, Guillermo Arriaga (idea, Alejandro González Iñárritu (idea)",Drama,True,10 Nov 2006,7.5,"34,300,771"
5707157a71a065165c8c3a37,Snakes on a Plane,3 wins & 7 nominations.,58,"Germany, USA, Canada",105 min,R,David R. Ellis,tt0417148,"113,704",English,"Samuel L. Jackson, Julianna Margulies, Nathan Phillips, Rachel Blanchard",http://ia.media-imdb.com/images/M/MV5BMjE0NzI3MjkxM15BMl5BanBnXkFtZTcwNjEzODIzMQ@@._V1_SX300.jpg,movie,"John Heffernan (screenplay, Sebastian Gutierrez (screenplay, David Dalessandro (story, John Heffernan (story)","Action, Thriller",True,18 Aug 2006,5.6,"18,764"
5707157a71a065165c8c3a38,She's the Man,2 wins & 5 nominations.,45,"USA, Canada",105 min,PG-13,Andy Fickman,tt0454945,"112,793",English,"Amanda Bynes, Channing Tatum, Laura Ramsey, Vinnie Jones",http://ia.media-imdb.com/images/M/MV5BMjEyMzAzMDk1Ml5BMl5BanBnXkFtZTcwNjg0OTEzMQ@@._V1_SX300.jpg,movie,"Ewan Leslie (screenplay, Karen McCullah (screenplay, Kirsten Smith (screenplay, Ewan Leslie (story)","Comedy, Romance",True,17 Mar 2006,6.4,"16,911"
5707157a71a065165c8c3a39,Flags of Our Fathers,Nominated for 2 Oscars. Another 13 wins & 23 nominations.,79,USA,135 min,R,Clint Eastwood,tt0418689,"99,329",English,"Ryan Phillippe, Jesse Bradford, Adam Beach, John Benjamin Hickey",http://ia.media-imdb.com/images/M/MV5BMTU2MjYxMjMyMF5BMl5BanBnXkFtZTYwMzAwMDc3._V1_SX300.jpg,movie,"William Broyles Jr. (screenplay, Paul Haggis (screenplay, James Bradley (book, Ron Powers (book)","Drama, History, War",True,20 Oct 2006,7.1,
5707157a71a065165c8c3a3a,United 93,Nominated for 2 Oscars. Another 27 wins & 45 nominations.,90,"USA, UK, France",111 min,R,Paul Greengrass,tt0475276,"81,946","English, Arabic, German","J.J. Johnson, Gary Commock, Polly Adams, Opal Alladin",http://ia.media-imdb.com/images/M/MV5BMTI1Nzc3NjAwOF5BMl5BanBnXkFtZTcwNzYzMjYzMQ@@._V1_SX300.jpg,movie,Paul Greengrass,"Action, Crime, Drama",True,28 Apr 2006,7.6,"177,151"
5707157a71a065165c8c3a3b,Employee of the Month,2 nominations.,36,USA,103 min,PG-13,Greg Coolidge,tt0424993,"37,030",English,"Dane Cook, Jessica Simpson, Dax Shepard, Andy Dick",http://ia.media-imdb.com/images/M/MV5BMTc4NTc2NDI5OF5BMl5BanBnXkFtZTcwMDQ4NzYzMQ@@._V1_SX300.jpg,movie,"Don Calame (screenplay, Chris Conroy (screenplay, Greg Coolidge (screenplay, Don Calame (story, Chris Conroy (story)","Comedy, Romance",True,06 Oct 2006,5.5,
5707157a71a065165c8c3a3c,The Ant Bully,1 win & 4 nominations.,59,USA,88 min,PG,John A. Davis,tt0429589,"29,303",English,"Julia Roberts, Nicolas Cage, Meryl Streep, Paul Giamatti",http://ia.media-imdb.com/images/M/MV5BMjE2OTYwMzQzNl5BMl5BanBnXkFtZTcwNDM1MjMzMQ@@._V1_SX300.jpg,movie,"John A. Davis, John Nickle (book)","Animation, Adventure, Comedy",True,28 Jul 2006,5.9,"28,133,159"
5707157a71a065165c8c3a3d,Crank,2 wins & 2 nominations.,57,USA,88 min,R,"Mark Neveldine, Brian Taylor",tt0479884,"191,085","English, Spanish, Korean","Jason Statham, Amy Smart, Jose Pablo Cantillo, Efren Ramirez",http://ia.media-imdb.com/images/M/MV5BMjg0NjAxNDY4MV5BMl5BanBnXkFtZTcwODA5MjMzMw@@._V1_SX300.jpg,movie,"Mark Neveldine, Brian Taylor","Action, Crime, Thriller",True,01 Sep 2006,7.0,"67,871"
5707157a71a065165c8c3a3e,Stick It,N/A,53,"Germany, USA",103 min,PG-13,Jessica Bendinger,tt0430634,"21,887",English,"Jeff Bridges, Missy Peregrym, Vanessa Lengies, Nikki SooHoo",http://ia.media-imdb.com/images/M/MV5BMTI1MDAzMDgzMF5BMl5BanBnXkFtZTcwNzc1ODQzMQ@@._V1_SX300.jpg,movie,Jessica Bendinger,"Comedy, Drama, Sport",True,28 Apr 2006,6.4,
5707157a71a065165c8c3a3f,The Making of 'The Descent',N/A,N/A,UK,42 min,N/A,Emma Farrell,tt1611176,5,English,"MyAnna Buring, Craig Conway, Simon Bowles, Christian Colson",N/A,movie,N/A,"Documentary, Short",True,26 Dec 2006,7.6,
5707157a71a065165c8c3a40,A Fearless Journey: A Look at Jet Li's 'Fearless',N/A,N/A,Hong Kong,16 min,N/A,Stanley J. Orzel,tt0940808,14,English,"Jet Li, Beau Weaver, Ronny Yu",N/A,movie,Stanley J. Orzel,Short,True,22 Dec 2006,6.5,
5707157a71a065165c8c3a41,Clerks II,3 wins & 3 nominations.,65,USA,97 min,R,Kevin Smith,tt0424345,"113,018",English,"Brian O'Halloran, Jeff Anderson, Jason Mewes, Kevin Smith",http://ia.media-imdb.com/images/M/MV5BODg1MzY2NDY0OF5BMl5BanBnXkFtZTcwNDgyMzQzMQ@@._V1_SX300.jpg,movie,Kevin Smith,Comedy,True,21 Jul 2006,7.4,
5707157a71a065165c8c3a42,An Inconvenient Truth,Won 2 Oscars. Another 30 wins & 10 nominations.,75,USA,96 min,PG,Davis Guggenheim,tt0497116,"65,866",English,"Al Gore, Billy West",http://ia.media-imdb.com/images/M/MV5BOTg3NjYxMjM5OF5BMl5BanBnXkFtZTcwMzQzMDA0MQ@@._V1_SX300.jpg,movie,N/A,Documentary,True,30 Jun 2006,7.5,"25,413"
5707157a71a065165c8c3a43,The Wicker Man,2 wins & 7 nominations.,36,"USA, Germany, Canada",102 min,PG-13,Neil LaBute,tt0450345,"52,039",English,"Nicolas Cage, Ellen Burstyn, Kate Beahan, Frances Conroy",http://ia.media-imdb.com/images/M/MV5BMTI3NzQ3NjgzN15BMl5BanBnXkFtZTYwMjk4NTU3._V1_SX300.jpg,movie,"Neil LaBute (screenplay, Anthony Shaffer","Horror, Mystery, Thriller",True,01 Sep 2006,3.6,"1,391,887"
5707157a71a065165c8c3a44,The Covenant,N/A,19,USA,97 min,PG-13,Renny Harlin,tt0475944,"38,670",English,"Steven Strait, Laura Ramsey, Sebastian Stan, Taylor Kitsch",http://ia.media-imdb.com/images/M/MV5BNjI1MTM1OTEwMV5BMl5BanBnXkFtZTcwODYzNzUzMQ@@._V1_SX300.jpg,movie,J.S. Cardone,"Action, Fantasy, Horror",True,08 Sep 2006,5.3,
5707157a71a065165c8c3a45,Stay Alive,N/A,24,USA,85 min,PG-13,William Brent Bell,tt0441796,"25,359",English,"Jon Foster, Samaire Armstrong, Frankie Muniz, Jimmi Simpson",http://ia.media-imdb.com/images/M/MV5BMTI1MDI5NDM5M15BMl5BanBnXkFtZTYwMjU1NDY3._V1_SX300.jpg,movie,"William Brent Bell, Matthew Peterman","Horror, Thriller",True,24 Mar 2006,5.0,"47,168"
5707157a71a065165c8c3a46,The Black Dahlia,Nominated for 1 Oscar. Another 4 wins & 12 nominations.,49,"Germany, USA, France",121 min,R,Brian De Palma,tt0387877,"62,428","English, German","Josh Hartnett, Scarlett Johansson, Aaron Eckhart, Hilary Swank",http://ia.media-imdb.com/images/M/MV5BMTg0MDc1OTQ5NF5BMl5BanBnXkFtZTcwNzE1ODUzMQ@@._V1_SX300.jpg,movie,"Josh Friedman (screenplay, James Ellroy (novel)","Crime, Drama, Mystery",True,15 Sep 2006,5.6,"22,518,325"
5707157a71a065165c8c3a47,My Super Ex-Girlfriend,1 win & 1 nomination.,50,USA,95 min,PG-13,Ivan Reitman,tt0465624,"52,967",English,"Uma Thurman, Luke Wilson, Anna Faris, Rainn Wilson",http://ia.media-imdb.com/images/M/MV5BMTc4OTA4OTYyMl5BMl5BanBnXkFtZTcwMzU4NDQzMQ@@._V1_SX300.jpg,movie,Don Payne,"Comedy, Romance, Sci-Fi",True,21 Jul 2006,5.1,"73,557"
5707157a71a065165c8c3a48,Lucky Number Slevin,5 wins & 4 nominations.,53,"Germany, USA",110 min,R,Paul McGuigan,tt0425210,"256,407",English,"Josh Hartnett, Bruce Willis, Lucy Liu, Morgan Freeman",http://ia.media-imdb.com/images/M/MV5BMzc1OTEwMTk4OF5BMl5BanBnXkFtZTcwMTEzMDQzMQ@@._V1_SX300.jpg,movie,Jason Smilovic,"Crime, Drama, Mystery",True,07 Apr 2006,7.8,"871,360"
5707157a71a065165c8c3a49,Waist Deep,4 nominations.,37,USA,97 min,R,Vondie Curtis-Hall,tt0456020,"8,056",English,"Tyrese Gibson, Shawn Parr, Henry Hunter Hall, Johnny C. Pruitt",http://ia.media-imdb.com/images/M/MV5BODQ3OTkxNTgyN15BMl5BanBnXkFtZTcwMjA0ODQzMQ@@._V1_SX300.jpg,movie,"Vondie Curtis-Hall (screenplay, Darin Scott (screenplay, Michael Mahern (story)","Action, Crime, Drama",True,23 Jun 2006,5.9,"21,318,194"
5707157a71a065165c8c3a4a,ATL,7 nominations.,63,USA,105 min,PG-13,Chris Robinson,tt0466856,"8,409",English,"Greg Andrews, Monica Arnold, Brandon Bernard Benton, Adam Boyer",http://ia.media-imdb.com/images/M/MV5BMTU5NjAzOTk1Nl5BMl5BanBnXkFtZTcwNDA1NTIzMQ@@._V1_SX300.jpg,movie,"Tina Gordon Chism (screenplay, Antwone Fisher (story)","Comedy, Crime, Drama",True,31 Mar 2006,5.9,"21,160,089"
5707157a71a065165c8c3a4b,Flicka,3 nominations.,57,"USA, UK",95 min,PG,Michael Mayer,tt0434215,"5,945",English,"Tim McGraw, Maria Bello, Alison Lohman, Ryan Kwanten",http://ia.media-imdb.com/images/M/MV5BMTI4OTM2MjU4M15BMl5BanBnXkFtZTcwMTA5MjA0MQ@@._V1_SX300.jpg,movie,"Mark Rosenthal (screenplay, Lawrence Konner (screenplay, Mary O'Hara (novel)","Adventure, Drama, Family",True,20 Oct 2006,6.1,"20,998,709"
5707157a71a065165c8c3a4c,A Prairie Home Companion,5 wins & 20 nominations.,75,USA,105 min,PG-13,Robert Altman,tt0420087,"19,448","English, Norwegian","Marylouise Burke, Woody Harrelson, L.Q. Jones, Tommy Lee Jones",http://ia.media-imdb.com/images/M/MV5BMTYwOTgzMTA3NF5BMl5BanBnXkFtZTcwMjYxMDMzMQ@@._V1_SX300.jpg,movie,"Garrison Keillor (screenplay, Garrison Keillor (story, Ken LaZebnik (story)","Comedy, Drama, Music",True,09 Jun 2006,6.9,
5707157a71a065165c8c3a4d,Pulse,1 nomination.,27,USA,90 min,PG-13,Jim Sonzero,tt0454919,"24,666",English,"Kristen Bell, Ian Somerhalder, Christina Milian, Rick Gonzalez",http://ia.media-imdb.com/images/M/MV5BMTMyOTg5MjY1OF5BMl5BanBnXkFtZTcwNTM1ODYzMQ@@._V1_SX300.jpg,movie,"Wes Craven (screenplay, Ray Wright (screenplay, Kiyoshi Kurosawa","Drama, Horror, Sci-Fi",True,11 Aug 2006,4.7,"75,394"
5707157a71a065165c8c3a4e,Beerfest,1 win & 3 nominations.,46,"USA, Australia",110 min,R,Jay Chandrasekhar,tt0486551,"53,665","English, German","M.C. Gainey, Paul Soter, Erik Stolhanske, Cloris Leachman",http://ia.media-imdb.com/images/M/MV5BMTI4NzYyMDE0OF5BMl5BanBnXkFtZTcwOTIzODczMw@@._V1_SX300.jpg,movie,"Jay Chandrasekhar, Kevin Heffernan, Steve Lemme, Paul Soter, Erik Stolhanske",Comedy,True,25 Aug 2006,6.3,"19,179,969"
5707157a71a065165c8c3a4f,Akeelah and the Bee,12 wins & 14 nominations.,72,USA,112 min,PG,Doug Atchison,tt0437800,"14,948",English,"Keke Palmer, Laurence Fishburne, Angela Bassett, Curtis Armstrong",http://ia.media-imdb.com/images/M/MV5BMTUzMDIwNjIzM15BMl5BanBnXkFtZTcwNTczODQzMQ@@._V1_SX300.jpg,movie,Doug Atchison,Drama,True,28 Apr 2006,7.5,"18,811,135"
5707157a71a065165c8c3a50,The Marine,N/A,45,USA,92 min,PG-13,John Bonito,tt0419946,"26,895","English, Arabic","John Cena, Robert Patrick, Kelly Carlson, Anthony Ray Parker",http://ia.media-imdb.com/images/M/MV5BMTg0ODc5NzE3Nl5BMl5BanBnXkFtZTcwMDkxNzczMQ@@._V1_SX300.jpg,movie,"Michelle Gallagher (story, Michelle Gallagher (screenplay, Alan B. McElroy (screenplay)","Action, Drama, Thriller",True,13 Oct 2006,4.7,"18,843,314"
5707157a71a065165c8c3a51,Aquamarine,1 win & 5 nominations.,51,"USA, Australia",104 min,PG,Elizabeth Allen Rosenbaum,tt0429591,"29,403",English,"Emma Roberts, Joanna 'JoJo' Levesque, Sara Paxton, Jake McDorman",http://ia.media-imdb.com/images/M/MV5BMTQ5MTc5OTk1OF5BMl5BanBnXkFtZTcwMDc1NTIzMQ@@._V1_SX300.jpg,movie,"John Quaintance (screenplay, Jessica Bendinger (screenplay, Alice Hoffman (novel)","Comedy, Family, Fantasy",True,03 Mar 2006,5.3,"58,828"
5707157a71a065165c8c3a52,Ultraviolet,1 win & 1 nomination.,18,USA,88 min,PG-13,Kurt Wimmer,tt0370032,"69,288","English, Vietnamese","Milla Jovovich, Cameron Bright, Nick Chinlund, Sebastien Andrieu",http://ia.media-imdb.com/images/M/MV5BMjA3MzI1MTk3M15BMl5BanBnXkFtZTcwODY5MzIzMQ@@._V1_SX300.jpg,movie,Kurt Wimmer,"Action, Sci-Fi",True,03 Mar 2006,4.4,"55,897"
5707157a71a065165c8c3a53,School for Scoundrels,2 nominations.,44,USA,100 min,PG-13,Todd Phillips,tt0462519,"25,822",English,"Billy Bob Thornton, Jon Heder, Jacinda Barrett, Michael Clarke Duncan",http://ia.media-imdb.com/images/M/MV5BMTM3ODExNjE2NV5BMl5BanBnXkFtZTcwMTIwNTczMQ@@._V1_SX300.jpg,movie,"Todd Phillips (screenplay, Scot Armstrong (screenplay)",Comedy,True,29 Sep 2006,5.9,
5707157a71a065165c8c3a54,The Last King of Scotland,Won 1 Oscar. Another 46 wins & 29 nominations.,74,"UK, Germany",123 min,R,Kevin Macdonald,tt0455590,"141,558","English, French, German, Swahili","Forest Whitaker, James McAvoy, Kerry Washington, Gillian Anderson",http://ia.media-imdb.com/images/M/MV5BMTc4NDYwOTg1N15BMl5BanBnXkFtZTcwMzM3MjYzMQ@@._V1_SX300.jpg,movie,"Peter Morgan (screenplay, Jeremy Brock (screenplay, Giles Foden (novel)","Biography, Drama, History",True,19 Jan 2007,7.7,"17,605,861"
5707157a71a065165c8c3a55,Notes on a Scandal,Nominated for 4 Oscars. Another 14 wins & 65 nominations.,73,UK,92 min,R,Richard Eyre,tt0465551,"63,785","English, French","Judi Dench, Cate Blanchett, Tom Georgeson, Michael Maloney",http://ia.media-imdb.com/images/M/MV5BMTI2NTcyMjE3NF5BMl5BanBnXkFtZTcwNDAyNzkzMQ@@._V1_SX300.jpg,movie,"Patrick Marber (screenplay, Zoe Heller (novel)","Crime, Drama, Romance",True,26 Jan 2007,7.4,"17,508,670"
5707157a71a065165c8c3a56,Just My Luck,7 nominations.,29,USA,103 min,PG-13,Donald Petrie,tt0397078,"42,971",English,"Lindsay Lohan, Chris Pine, Samaire Armstrong, Bree Turner",http://ia.media-imdb.com/images/M/MV5BMTczMDg2ODUyMl5BMl5BanBnXkFtZTcwMjcyMzgzMQ@@._V1_SX300.jpg,movie,"I. Marlene King (screenplay, Amy Harris (screenplay, Jonathan Bernstein (story, Mark Blackwell (story, James Greer (story, I. Marlene King (story)","Comedy, Fantasy, Romance",True,12 May 2006,5.3,"331,344"
5707157a71a065165c8c3a57,Annapolis,N/A,37,USA,108 min,PG-13,Justin Lin,tt0417433,"17,661",English,"James Franco, Macka Foley, Jim Parrack, Donnie Wahlberg",http://ia.media-imdb.com/images/M/MV5BNDQxMzA1Mjk5MF5BMl5BanBnXkFtZTcwMTM5NjEzMQ@@._V1_SX300.jpg,movie,David Collard,"Drama, Romance, Sport",True,27 Jan 2006,5.8,"17,119,321"
5707157a71a065165c8c3a58,Unaccompanied Minors,1 win & 3 nominations.,43,USA,90 min,PG,Paul Feig,tt0488658,"8,212","English, Spanish","Lewis Black, Wilmer Valderrama, Tyler James Williams, Dyllan Christopher",http://ia.media-imdb.com/images/M/MV5BMTk4MDY2NDYwOV5BMl5BanBnXkFtZTcwNDc5OTYzMQ@@._V1_SX300.jpg,movie,"Jacob Meszaros, Mya Stark","Adventure, Comedy, Family",True,08 Dec 2006,5.1,"16,647,384"
